Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     89.01     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<unsigned long>::~new_allocator()
  0.00     89.01     0.00        2     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<char> >::_S_select_on_copy(std::allocator<char> const&)
  0.00     89.01     0.00        2     0.00     0.00  bool __gnu_cxx::__is_null_pointer<char>(char*)
  0.00     89.01     0.00        2     0.00     0.00  std::allocator<unsigned long>::allocator()
  0.00     89.01     0.00        2     0.00     0.00  std::allocator<unsigned long>::~allocator()
  0.00     89.01     0.00        2     0.00     0.00  std::_Vector_base<unsigned long, std::allocator<unsigned long> >::_Vector_impl::_Vector_impl()
  0.00     89.01     0.00        2     0.00     0.00  std::_Vector_base<unsigned long, std::allocator<unsigned long> >::_Vector_impl::~_Vector_impl()
  0.00     89.01     0.00        2     0.00     0.00  std::_Vector_base<unsigned long, std::allocator<unsigned long> >::_Vector_base()
  0.00     89.01     0.00        2     0.00     0.00  std::_Vector_base<unsigned long, std::allocator<unsigned long> >::~_Vector_base()
  0.00     89.01     0.00        2     0.00     0.00  std::allocator_traits<std::allocator<char> >::select_on_container_copy_construction(std::allocator<char> const&)
  0.00     89.01     0.00        2     0.00     0.00  std::fpos<__mbstate_t>::fpos(long)
  0.00     89.01     0.00        2     0.00     0.00  std::vector<unsigned long, std::allocator<unsigned long> >::vector()
  0.00     89.01     0.00        2     0.00     0.00  void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char*>(char*, char*)
  0.00     89.01     0.00        2     0.00     0.00  void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char*>(char*, char*, std::forward_iterator_tag)
  0.00     89.01     0.00        2     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_S_copy_chars(char*, char*, char*)
  0.00     89.01     0.00        2     0.00     0.00  void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct_aux<char*>(char*, char*, std::__false_type)
  0.00     89.01     0.00        2     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00     89.01     0.00        2     0.00     0.00  std::iterator_traits<char*>::difference_type std::__distance<char*>(char*, char*, std::random_access_iterator_tag)
  0.00     89.01     0.00        2     0.00     0.00  std::iterator_traits<char*>::iterator_category std::__iterator_category<char*>(char* const&)
  0.00     89.01     0.00        2     0.00     0.00  __gnu_cxx::__enable_if<std::__is_integer<unsigned long>::__value, double>::__type std::log2<unsigned long>(unsigned long)
  0.00     89.01     0.00        2     0.00     0.00  std::iterator_traits<char*>::difference_type std::distance<char*>(char*, char*)
  0.00     89.01     0.00        1     0.00     0.00  _GLOBAL__sub_I_main
  0.00     89.01     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00     89.01     0.00        1     0.00     0.00  lcePrezzaAdv::~lcePrezzaAdv()
  0.00     89.01     0.00        1     0.00     0.00  lcePrezza::~lcePrezza()
  0.00     89.01     0.00        1     0.00     0.00  std::ostreambuf_iterator<char, std::char_traits<char> >::failed() const
  0.00     89.01     0.00        1     0.00     0.00  std::ios_base::getloc() const
  0.00     89.01     0.00        1     0.00     0.00  std::ostreambuf_iterator<char, std::char_traits<char> >::ostreambuf_iterator(std::basic_streambuf<char, std::char_traits<char> >*)
  0.00     89.01     0.00        1     0.00     0.01  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::append(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00     89.01     0.00        1     0.00     0.01  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_append(char const*, unsigned long)
  0.00     89.01     0.00        1     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_mutate(unsigned long, unsigned long, char const*, unsigned long)
  0.00     89.01     0.00        1     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&&)
  0.00     89.01     0.00        1     0.00     0.00  std::remove_reference<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&>::type&& std::move<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&)
  0.00     89.01     0.00        1     0.00     0.00  std::_Put_time<char> std::put_time<char>(tm const*, char const*)
  0.00     89.01     0.00        1     0.00     0.00  std::basic_ostream<char, std::char_traits<char> >& std::operator<< <char, std::char_traits<char> >(std::basic_ostream<char, std::char_traits<char> >&, std::_Put_time<char>)
  0.00     89.01     0.00        1     0.00     0.01  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.

 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012-2018 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 2 byte(s) for 0.01% of 89.01 seconds

index % time    self  children    called     name
                                                 <spontaneous>
[1]     99.5    0.92   87.67                 main [1]
                2.06   40.98 20000000/20000000     lcePrezzaAdv::lce(unsigned long, unsigned long) [2]
                2.15   38.36 20000000/20000000     lcePrezza::lce(unsigned long, unsigned long) [4]
                0.01    1.98       1/1           lcePrezzaAdv::lcePrezzaAdv(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >) [10]
                0.01    1.91       1/1           lcePrezza::lcePrezza(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >) [11]
                0.10    0.00 40000000/40000152     std::vector<unsigned long, std::allocator<unsigned long> >::size() const [18]
                0.07    0.00 40399996/40399996     std::vector<unsigned long, std::allocator<unsigned long> >::operator[](unsigned long) [19]
                0.01    0.02  399996/399996      std::vector<unsigned long, std::allocator<unsigned long> >::push_back(unsigned long&&) [20]
                0.01    0.00       2/2           std::vector<unsigned long, std::allocator<unsigned long> >::~vector() [27]
                0.00    0.01       1/1           std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) [28]
                0.00    0.00       3/17          std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string(char const*, std::allocator<char> const&) [34]
                0.00    0.00       2/2           std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) [44]
                0.00    0.00       2/4           std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string() [39]
                0.00    0.00  399996/399996      std::__cxx11::stoi(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, unsigned long*, int) [73]
                0.00    0.00       9/25          std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::~basic_string() [113]
                0.00    0.00       8/8           timestamp() [129]
                0.00    0.00       2/4           util::inputErrorHandling(std::basic_ifstream<char, std::char_traits<char> >*) [140]
                0.00    0.00       2/2           std::vector<unsigned long, std::allocator<unsigned long> >::vector() [158]
                0.00    0.00       1/1           std::_Put_time<char> std::put_time<char>(tm const*, char const*) [171]
                0.00    0.00       1/1           std::basic_ostream<char, std::char_traits<char> >& std::operator<< <char, std::char_traits<char> >(std::basic_ostream<char, std::char_traits<char> >&, std::_Put_time<char>) [172]
                0.00    0.00       1/3           std::operator|(std::_Ios_Openmode, std::_Ios_Openmode) [142]
                0.00    0.00       1/1           lcePrezzaAdv::~lcePrezzaAdv() [164]
                0.00    0.00       1/1           lcePrezza::~lcePrezza() [165]
-----------------------------------------------
                2.06   40.98 20000000/20000000     main [1]
[2]     48.4    2.06   40.98 20000000         lcePrezzaAdv::lce(unsigned long, unsigned long) [2]
                9.19   31.79 490960746/490960746     lcePrezzaAdv::fingerprintExp(unsigned long, int) [3]
-----------------------------------------------
                9.19   31.79 490960746/490960746     lcePrezzaAdv::lce(unsigned long, unsigned long) [2]
[3]     46.0    9.19   31.79 490960746         lcePrezzaAdv::fingerprintExp(unsigned long, int) [3]
               15.99   15.80 981921492/981921492     lcePrezzaAdv::fingerprintTo(unsigned long) [6]
-----------------------------------------------
                2.15   38.36 20000000/20000000     main [1]
[4]     45.5    2.15   38.36 20000000         lcePrezza::lce(unsigned long, unsigned long) [4]
                8.89   29.47 490960746/490960746     lcePrezza::fingerprintExp(unsigned long, int) [5]
-----------------------------------------------
                8.89   29.47 490960746/490960746     lcePrezza::lce(unsigned long, unsigned long) [4]
[5]     43.1    8.89   29.47 490960746         lcePrezza::fingerprintExp(unsigned long, int) [5]
               14.94   14.53 981921492/981921492     lcePrezza::fingerprintTo(unsigned long) [7]
-----------------------------------------------
               15.99   15.80 981921492/981921492     lcePrezzaAdv::fingerprintExp(unsigned long, int) [3]
[6]     35.7   15.99   15.80 981921492         lcePrezzaAdv::fingerprintTo(unsigned long) [6]
               15.80    0.00 859362537/859362537     lcePrezzaAdv::getBlock(unsigned long) [8]
-----------------------------------------------
               14.94   14.53 981921492/981921492     lcePrezza::fingerprintExp(unsigned long, int) [5]
[7]     33.1   14.94   14.53 981921492         lcePrezza::fingerprintTo(unsigned long) [7]
               14.53    0.00 859362537/859362537     lcePrezza::getBlock(unsigned long) [9]
-----------------------------------------------
